[2022-01-14 06:02:52,706][INFO] logging into ./results/hairGAN.log
[2022-01-14 06:03:05,993][INFO] found 20 images in the folder
[2022-01-14 06:03:05,993][INFO] Loading models for stylegan inversion.
[2022-01-14 06:03:05,993][INFO] Loading inverter model.
[2022-01-14 06:03:05,994][INFO] Build network for module `generator` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:06,230][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_generator.pth`.
[2022-01-14 06:03:12,668][INFO] Successfully loaded!
[2022-01-14 06:03:12,670][INFO] Current `lod` is 0.0.
[2022-01-14 06:03:12,671][INFO] Build network for module `encoder` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:13,863][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_encoder.pth`.
[2022-01-14 06:03:24,785][INFO] Successfully loaded!
[2022-01-14 06:03:28,401][INFO] Loading generator model.
[2022-01-14 06:03:28,949][INFO] Loading models for hypergan inpainting.
[2022-01-14 06:04:06,340][INFO] succesfully completed inpainting on 20 / 20 images
[2022-01-14 06:04:06,340][INFO] starting inversion!
[2022-01-14 06:04:17,296][DEBUG] Step: 00028, lr: 1.00e-02, loss_pix: 0.175, loss_ssim: 0.308, loss_feat: 3242.003, loss_reg: 0.212, loss: -0.458
[2022-01-14 06:04:17,417][DEBUG] Step: 00029, lr: 1.00e-02, loss_pix: 0.175, loss_ssim: 0.310, loss_feat: 3225.844, loss_reg: 0.211, loss: -0.467
[2022-01-14 06:04:17,540][DEBUG] Step: 00030, lr: 1.00e-02, loss_pix: 0.174, loss_ssim: 0.312, loss_feat: 3216.575, loss_reg: 0.211, loss: -0.476
[2022-01-14 06:04:17,660][DEBUG] Step: 00031, lr: 1.00e-02, loss_pix: 0.173, loss_ssim: 0.315, loss_feat: 3200.446, loss_reg: 0.210, loss: -0.486
[2022-01-14 06:04:17,779][DEBUG] Step: 00032, lr: 1.00e-02, loss_pix: 0.172, loss_ssim: 0.317, loss_feat: 3199.132, loss_reg: 0.209, loss: -0.495
[2022-01-14 06:04:17,899][DEBUG] Step: 00033, lr: 1.00e-02, loss_pix: 0.172, loss_ssim: 0.320, loss_feat: 3197.008, loss_reg: 0.208, loss: -0.505
[2022-01-14 06:04:18,019][DEBUG] Step: 00034, lr: 1.00e-02, loss_pix: 0.171, loss_ssim: 0.323, loss_feat: 3180.856, loss_reg: 0.207, loss: -0.515
[2022-01-14 06:04:18,139][DEBUG] Step: 00035, lr: 1.00e-02, loss_pix: 0.170, loss_ssim: 0.326, loss_feat: 3162.182, loss_reg: 0.206, loss: -0.526
[2022-01-14 06:04:18,259][DEBUG] Step: 00036, lr: 1.00e-02, loss_pix: 0.169, loss_ssim: 0.329, loss_feat: 3148.992, loss_reg: 0.205, loss: -0.536
[2022-01-14 06:04:18,378][DEBUG] Step: 00037, lr: 1.00e-02, loss_pix: 0.169, loss_ssim: 0.332, loss_feat: 3134.858, loss_reg: 0.204, loss: -0.547
[2022-01-14 06:04:18,498][DEBUG] Step: 00038, lr: 1.00e-02, loss_pix: 0.168, loss_ssim: 0.335, loss_feat: 3116.443, loss_reg: 0.202, loss: -0.558
[2022-01-14 06:04:18,618][DEBUG] Step: 00039, lr: 1.00e-02, loss_pix: 0.167, loss_ssim: 0.338, loss_feat: 3099.000, loss_reg: 0.201, loss: -0.570
[2022-01-14 06:04:18,740][DEBUG] Step: 00040, lr: 1.00e-02, loss_pix: 0.167, loss_ssim: 0.341, loss_feat: 3082.929, loss_reg: 0.200, loss: -0.581
[2022-01-14 06:04:18,859][DEBUG] Step: 00041, lr: 1.00e-02, loss_pix: 0.166, loss_ssim: 0.344, loss_feat: 3067.667, loss_reg: 0.199, loss: -0.592
[2022-01-14 06:04:18,979][DEBUG] Step: 00042, lr: 1.00e-02, loss_pix: 0.166, loss_ssim: 0.346, loss_feat: 3052.033, loss_reg: 0.197, loss: -0.603
[2022-01-14 06:04:19,099][DEBUG] Step: 00043, lr: 1.00e-02, loss_pix: 0.165, loss_ssim: 0.349, loss_feat: 3034.015, loss_reg: 0.196, loss: -0.613
[2022-01-14 06:04:19,219][DEBUG] Step: 00044, lr: 1.00e-02, loss_pix: 0.164, loss_ssim: 0.352, loss_feat: 3014.788, loss_reg: 0.195, loss: -0.623
[2022-01-14 06:04:19,339][DEBUG] Step: 00045, lr: 1.00e-02, loss_pix: 0.164, loss_ssim: 0.354, loss_feat: 2996.544, loss_reg: 0.193, loss: -0.633
[2022-01-14 06:04:19,461][DEBUG] Step: 00046, lr: 1.00e-02, loss_pix: 0.163, loss_ssim: 0.356, loss_feat: 2974.834, loss_reg: 0.192, loss: -0.642
[2022-01-14 06:04:19,582][DEBUG] Step: 00047, lr: 1.00e-02, loss_pix: 0.162, loss_ssim: 0.358, loss_feat: 2954.738, loss_reg: 0.190, loss: -0.651
[2022-01-14 06:04:19,701][DEBUG] Step: 00048, lr: 1.00e-02, loss_pix: 0.162, loss_ssim: 0.360, loss_feat: 2937.447, loss_reg: 0.189, loss: -0.659
[2022-01-14 06:04:19,821][DEBUG] Step: 00049, lr: 1.00e-02, loss_pix: 0.161, loss_ssim: 0.362, loss_feat: 2919.588, loss_reg: 0.187, loss: -0.667
[2022-01-14 06:04:19,941][DEBUG] Step: 00050, lr: 1.00e-02, loss_pix: 0.160, loss_ssim: 0.364, loss_feat: 2903.245, loss_reg: 0.186, loss: -0.675
[2022-01-14 06:04:20,064][DEBUG] Step: 00051, lr: 1.00e-02, loss_pix: 0.160, loss_ssim: 0.366, loss_feat: 2887.859, loss_reg: 0.184, loss: -0.682
[2022-01-14 06:04:20,183][DEBUG] Step: 00052, lr: 1.00e-02, loss_pix: 0.159, loss_ssim: 0.367, loss_feat: 2872.082, loss_reg: 0.183, loss: -0.690
[2022-01-14 06:04:20,303][DEBUG] Step: 00053, lr: 1.00e-02, loss_pix: 0.158, loss_ssim: 0.369, loss_feat: 2856.633, loss_reg: 0.182, loss: -0.697
[2022-01-14 06:04:20,422][DEBUG] Step: 00054, lr: 1.00e-02, loss_pix: 0.158, loss_ssim: 0.371, loss_feat: 2842.889, loss_reg: 0.181, loss: -0.705
[2022-01-14 06:04:20,541][DEBUG] Step: 00055, lr: 1.00e-02, loss_pix: 0.157, loss_ssim: 0.373, loss_feat: 2828.974, loss_reg: 0.179, loss: -0.712
[2022-01-14 06:04:20,664][DEBUG] Step: 00056, lr: 1.00e-02, loss_pix: 0.156, loss_ssim: 0.374, loss_feat: 2815.077, loss_reg: 0.178, loss: -0.720
[2022-01-14 06:04:20,783][DEBUG] Step: 00057, lr: 1.00e-02, loss_pix: 0.156, loss_ssim: 0.376, loss_feat: 2801.772, loss_reg: 0.177, loss: -0.727
[2022-01-14 06:04:20,903][DEBUG] Step: 00058, lr: 1.00e-02, loss_pix: 0.155, loss_ssim: 0.378, loss_feat: 2788.943, loss_reg: 0.176, loss: -0.735
[2022-01-14 06:04:21,024][DEBUG] Step: 00059, lr: 1.00e-02, loss_pix: 0.154, loss_ssim: 0.380, loss_feat: 2775.752, loss_reg: 0.175, loss: -0.743
[2022-01-14 06:04:21,144][DEBUG] Step: 00060, lr: 1.00e-02, loss_pix: 0.153, loss_ssim: 0.382, loss_feat: 2761.947, loss_reg: 0.173, loss: -0.751
[2022-01-14 06:04:21,264][DEBUG] Step: 00061, lr: 1.00e-02, loss_pix: 0.152, loss_ssim: 0.384, loss_feat: 2747.428, loss_reg: 0.172, loss: -0.759
